date,deaths
2020-03-18,2
2020-03-20,4
2020-03-21,5
2020-03-22,7
2020-03-23,13
2020-03-24,16
2020-03-25,19
2020-03-26,22
2020-03-27,32
2020-03-28,35
2020-03-29,42
2020-03-30,50
2020-03-31,56
2020-04-01,61
2020-04-02,67
2020-04-03,76
2020-04-04,83
2020-04-05,87
2020-04-06,88
2020-04-07,91
2020-04-08,92
2020-04-09,94
2020-04-10,95
2020-04-11,97
2020-04-12,102
2020-04-13,106
2020-04-14,108
2020-04-15,114
2020-04-16,120
2020-04-17,125
2020-04-18,131
2020-04-19,133
2020-04-20,136
2020-04-21,142
2020-04-22,147
2020-04-23,149
2020-04-24,154
2020-04-25,156
2020-04-26,157
2020-04-27,161
2020-04-28,168
2020-04-29,176
2020-04-30,186
2020-05-01,194
2020-05-02,203
2020-05-03,207
2020-05-04,213
2020-05-05,220
2020-05-06,223
2020-05-07,226
2020-05-08,234
2020-05-09,240
2020-05-10,249
2020-05-11,256
2020-05-13,263
2020-05-14,269
2020-05-15,277
2020-05-16,284
2020-05-17,296
2020-05-18,307
2020-05-19,320
2020-05-20,333
2020-05-21,338
2020-05-22,347
2020-05-23,362
2020-05-24,371
2020-05-25,380
2020-05-26,391
2020-05-27,411
2020-05-28,420
2020-05-29,439
2020-05-30,446
2020-05-31,455
2020-06-01,467
2020-06-02,482
2020-06-03,494
2020-06-04,504
2020-06-05,518
2020-06-06,532
2020-06-07,555
2020-06-08,575
2020-06-09,603
2020-06-10,624
2020-06-11,648
2020-06-12,673
2020-06-13,699
2020-06-14,717
2020-06-15,739
2020-06-16,767
2020-06-17,795
2020-06-18,834
2020-06-19,860
2020-06-20,889
2020-06-21,936
2020-06-22,980
2020-06-23,1028
2020-06-24,1079
2020-06-25,1139
2020-06-26,1194
2020-06-27,1245
2020-06-28,1295
2020-06-29,1347
2020-06-30,1406
2020-07-01,1480
2020-07-02,1572
2020-07-03,1654
2020-07-04,1726
2020-07-05,1799
2020-07-06,1889
2020-07-07,1998
2020-07-08,2097
2020-07-09,2188
2020-07-10,2291
2020-07-11,2372
2020-07-12,2448
2020-07-13,2548
2020-07-14,2654
2020-07-15,2781
2020-07-16,2896
2020-07-17,3023
2020-07-18,3133
2020-07-19,3256
2020-07-20,3376
2020-07-21,3488
2020-07-22,3619
2020-07-23,3732
2020-07-24,3890
2020-07-25,3991
2020-07-26,4110
2020-07-27,4240
2020-07-28,4375
2020-07-29,4511
2020-07-30,4632
2020-07-31,4757
2020-08-01,4864
2020-08-02,4966
2020-08-03,5064
2020-08-04,5176
2020-08-05,5270
2020-08-06,5375
2020-08-07,5468
2020-08-08,5539
2020-08-09,5627
2020-08-10,5703
2020-08-11,5783
2020-08-12,5877
2020-08-13,5953
2020-08-14,6038
2020-08-15,6120
2020-08-16,6199
2020-08-17,6277
2020-08-18,6371
2020-08-19,6460
2020-08-20,6515
2020-08-21,6576
2020-08-22,6620
2020-08-23,6665
2020-08-24,6706
2020-08-25,6764
2020-08-26,6914
2020-08-27,6969
2020-08-28,7023
2020-08-29,7072
2020-08-30,7120
2020-08-31,7178
2020-09-01,7234
2020-09-02,7288
2020-09-03,7335
2020-09-04,7381
2020-09-05,7421
2020-09-06,7458
2020-09-07,7502
2020-09-08,7537
2020-09-09,7586
2020-09-10,7635
2020-09-11,7677
2020-09-12,7715
2020-09-13,7745
2020-09-14,7778
2020-09-15,7812
2020-09-16,7846
2020-09-17,7888
2020-09-18,7924
2020-09-19,7945
2020-09-20,7974
2020-09-21,7999
2020-09-22,8020
2020-09-23,8040
2020-09-24,8076
2020-09-25,8123
2020-09-26,8150
2020-09-27,8177
2020-09-28,8214
2020-09-29,8242
2020-09-30,8278
2020-10-01,8306
2020-10-02,8329
2020-10-03,8373
2020-10-04,8397
2020-10-05,8430
2020-10-06,8458
2020-10-07,8491
2020-10-08,8536
2020-10-09,8565
2020-10-10,8588
2020-10-11,8609
2020-10-12,8638
2020-10-13,8674
2020-10-14,8705
2020-10-15,8738
2020-10-16,8766
2020-10-17,8797
2020-10-18,8822
2020-10-19,8868
2020-10-20,8891
2020-10-21,8922
2020-10-22,8961
2020-10-23,8993
2020-10-24,9019
2020-10-25,9044
2020-10-26,9066
2020-10-27,9096
2020-10-28,9124
2020-10-29,9160
2020-10-30,9196
2020-10-31,9232
2020-11-01,9272
2020-11-02,9305
2020-11-03,9334
2020-11-04,9365
2020-11-05,9407
2020-11-06,9438
2020-11-07,9463
2020-11-08,9482
2020-11-09,9508
2020-11-10,9542
2020-11-11,9560
2020-11-12,9584
2020-11-13,9627
2020-11-14,9645
2020-11-15,9662
2020-11-16,9696
2020-11-17,9723
2020-11-18,9742
2020-11-19,9785
2020-11-20,9798
2020-11-21,9822
2020-11-22,9850
2020-11-23,9877
2020-11-24,9901
2020-11-25,9919
2020-11-26,9945
2020-11-27,9971
2020-11-28,9983
2020-11-29,9993
2020-11-30,10011
2020-12-01,10027
2020-12-02,10035
2020-12-03,10045
2020-12-04,10056
2020-12-05,10058
2020-12-06,10063
2020-12-07,10066
2020-12-08,10072
2020-12-09,10073
