date,deaths
2020-03-20,1
2020-03-22,2
2020-03-24,3
2020-03-26,4
2020-03-27,6
2020-03-28,8
2020-03-31,13
2020-04-01,14
2020-04-02,16
2020-04-03,24
2020-04-04,25
2020-04-05,26
2020-04-06,27
2020-04-07,32
2020-04-08,35
2020-04-09,38
2020-04-10,40
2020-04-11,42
2020-04-13,43
2020-04-14,47
2020-04-15,48
2020-04-18,51
2020-04-19,52
2020-04-21,54
2020-04-23,56
2020-04-24,59
2020-04-26,61
2020-04-27,62
2020-04-28,63
2020-04-30,65
2020-05-03,67
2020-05-04,73
2020-05-05,76
2020-05-06,78
2020-05-07,82
2020-05-08,86
2020-05-09,88
2020-05-10,89
2020-05-11,94
2020-05-12,98
2020-05-13,104
2020-05-14,111
2020-05-15,115
2020-05-16,117
2020-05-17,120
2020-05-18,124
2020-05-19,127
2020-05-20,130
2020-05-21,138
2020-05-22,141
2020-05-23,145
2020-05-24,146
2020-05-25,150
2020-05-26,156
2020-05-27,161
2020-05-28,168
2020-05-29,173
2020-05-30,181
2020-05-31,187
2020-06-01,194
2020-06-02,198
2020-06-03,200
2020-06-04,207
2020-06-05,215
2020-06-06,216
2020-06-07,219
2020-06-08,228
2020-06-09,238
2020-06-10,246
2020-06-11,253
2020-06-12,261
2020-06-13,267
2020-06-14,272
2020-06-15,279
2020-06-16,294
2020-06-17,304
2020-06-18,313
2020-06-19,323
2020-06-20,328
2020-06-21,337
2020-06-22,344
2020-06-23,355
2020-06-24,370
2020-06-25,383
2020-06-26,404
2020-06-27,414
2020-06-28,421
2020-06-29,432
2020-06-30,452
2020-07-01,467
2020-07-02,484
2020-07-03,500
2020-07-04,513
2020-07-05,526
2020-07-06,558
2020-07-07,577
2020-07-08,594
2020-07-09,620
2020-07-10,652
2020-07-11,663
2020-07-12,677
2020-07-13,697
2020-07-14,728
2020-07-15,742
2020-07-16,765
2020-07-17,787
2020-07-18,812
2020-07-19,828
2020-07-20,855
2020-07-21,890
2020-07-22,916
2020-07-23,941
2020-07-24,969
2020-07-25,998
2020-07-26,1010
2020-07-27,1038
2020-07-28,1065
2020-07-29,1088
2020-07-30,1111
2020-07-31,1141
2020-08-01,1165
2020-08-02,1187
2020-08-03,1212
2020-08-04,1231
2020-08-05,1247
2020-08-06,1271
2020-08-07,1295
2020-08-08,1313
2020-08-09,1330
2020-08-10,1351
2020-08-11,1374
2020-08-12,1391
2020-08-13,1414
2020-08-14,1424
2020-08-15,1435
2020-08-16,1440
2020-08-17,1452
2020-08-18,1489
2020-08-19,1500
2020-08-20,1516
2020-08-21,1539
2020-08-22,1550
2020-08-23,1557
2020-08-24,1577
2020-08-25,1594
2020-08-26,1606
2020-08-27,1615
2020-08-28,1634
2020-08-29,1649
2020-08-30,1657
2020-08-31,1667
2020-09-01,1677
2020-09-02,1691
2020-09-03,1709
2020-09-04,1727
2020-09-05,1736
2020-09-06,1746
2020-09-07,1760
2020-09-08,1775
2020-09-09,1795
2020-09-10,1806
2020-09-11,1819
2020-09-12,1830
2020-09-13,1841
2020-09-14,1857
2020-09-15,1882
2020-09-16,1887
2020-09-17,1898
2020-09-18,1912
2020-09-19,1925
2020-09-20,1929
2020-09-21,1943
2020-09-22,1958
2020-09-23,1969
2020-09-24,1983
2020-09-25,1992
2020-09-26,2004
2020-09-27,2013
2020-09-28,2030
2020-09-29,2037
2020-09-30,2049
2020-10-01,2060
2020-10-02,2074
2020-10-03,2084
2020-10-04,2094
2020-10-05,2106
2020-10-06,2123
2020-10-07,2132
2020-10-08,2141
2020-10-09,2149
2020-10-10,2155
2020-10-11,2161
2020-10-12,2167
2020-10-13,2174
2020-10-14,2177
2020-10-15,2194
2020-10-16,2203
2020-10-17,2209
2020-10-18,2223
2020-10-19,2243
2020-10-20,2259
2020-10-21,2272
2020-10-22,2288
2020-10-23,2307
2020-10-24,2320
2020-10-25,2334
2020-10-26,2346
2020-10-27,2360
2020-10-28,2376
2020-10-29,2380
2020-10-30,2388
2020-10-31,2394
2020-11-01,2403
2020-11-02,2407
2020-11-03,2423
2020-11-04,2426
2020-11-05,2438
2020-11-06,2446
2020-11-07,2452
2020-11-08,2457
2020-11-09,2469
2020-11-10,2481
2020-11-11,2491
2020-11-12,2505
2020-11-13,2516
2020-11-14,2523
2020-11-15,2529
2020-11-16,2535
2020-11-17,2547
2020-11-18,2553
2020-11-19,2563
2020-11-20,2573
2020-11-21,2582
2020-11-22,2584
2020-11-23,2594
2020-11-24,2596
2020-11-25,2598
2020-11-26,2605
2020-11-27,2611
2020-11-28,2613
2020-11-29,2614
2020-12-01,2616
