date,deaths
2020-03-13,1
2020-03-25,2
2020-03-28,4
2020-03-29,5
2020-03-30,7
2020-04-02,9
2020-04-03,10
2020-04-04,11
2020-04-07,12
2020-04-08,14
2020-04-11,17
2020-04-12,18
2020-04-13,21
2020-04-16,22
2020-04-19,23
2020-04-20,24
2020-04-21,25
2020-04-22,26
2020-04-23,29
2020-04-24,30
2020-04-25,32
2020-04-26,34
2020-04-27,35
2020-04-28,37
2020-04-29,40
2020-04-30,45
2020-05-01,46
2020-05-02,51
2020-05-03,55
2020-05-04,56
2020-05-05,64
2020-05-06,75
2020-05-07,85
2020-05-08,88
2020-05-09,90
2020-05-10,95
2020-05-11,101
2020-05-12,107
2020-05-13,113
2020-05-14,123
2020-05-15,133
2020-05-16,138
2020-05-17,141
2020-05-18,157
2020-05-19,167
2020-05-20,179
2020-05-21,186
2020-05-22,190
2020-05-23,193
2020-05-24,197
2020-05-25,203
2020-05-26,205
2020-05-27,211
2020-05-28,216
2020-05-29,222
2020-05-30,226
2020-05-31,228
2020-06-01,235
2020-06-02,242
2020-06-03,246
2020-06-04,252
2020-06-05,257
2020-06-06,264
2020-06-07,266
2020-06-08,275
2020-06-09,283
2020-06-10,297
2020-06-11,311
2020-06-12,318
2020-06-13,334
2020-06-14,336
2020-06-15,345
2020-06-16,360
2020-06-17,373
2020-06-18,383
2020-06-19,391
2020-06-20,397
2020-06-21,409
2020-06-22,414
2020-06-23,423
2020-06-24,427
2020-06-25,438
2020-06-26,444
2020-06-27,447
2020-06-28,448
2020-06-29,451
2020-06-30,455
2020-07-01,461
2020-07-02,462
2020-07-03,468
2020-07-04,474
2020-07-05,481
2020-07-06,484
2020-07-07,492
2020-07-08,493
2020-07-09,496
2020-07-10,499
2020-07-11,502
2020-07-12,503
2020-07-13,509
2020-07-14,513
2020-07-15,514
2020-07-16,518
2020-07-17,521
2020-07-18,524
2020-07-19,529
2020-07-20,531
2020-07-21,535
2020-07-23,537
2020-07-24,540
2020-07-25,544
2020-07-26,549
2020-07-27,550
2020-07-28,551
2020-07-29,552
2020-07-30,555
2020-08-01,557
2020-08-02,559
2020-08-05,561
2020-08-06,562
2020-08-07,569
2020-08-08,571
2020-08-09,574
2020-08-10,576
2020-08-11,578
2020-08-13,579
2020-08-14,582
2020-08-15,583
2020-08-17,584
2020-08-18,589
2020-08-19,591
2020-08-20,594
2020-08-21,595
2020-08-23,596
2020-08-27,598
2020-08-29,600
2020-08-30,601
2020-09-01,603
2020-09-02,604
2020-09-03,607
2020-09-04,608
2020-09-07,611
2020-09-10,612
2020-09-11,614
2020-09-12,617
2020-09-13,618
2020-09-14,619
2020-09-16,620
2020-09-17,621
2020-09-18,623
2020-09-19,625
2020-09-20,626
2020-09-22,628
2020-09-24,629
2020-09-26,631
2020-09-28,632
2020-09-29,633
2020-10-02,634
2020-10-05,635
2020-10-06,637
2020-10-07,638
2020-10-08,641
2020-10-11,642
2020-10-12,643
2020-10-13,645
2020-10-14,646
2020-10-15,648
2020-10-16,650
2020-10-17,651
2020-10-18,655
2020-10-19,657
2020-10-20,660
2020-10-21,661
2020-10-22,663
2020-10-23,666
2020-10-24,668
2020-10-25,669
2020-10-26,670
2020-10-28,672
2020-10-29,673
2020-10-30,675
2020-10-31,677
2020-11-01,679
2020-11-02,681
2020-11-05,683
2020-11-07,686
2020-11-08,690
2020-11-09,692
2020-11-10,694
2020-11-11,697
2020-11-13,698
2020-11-14,701
2020-11-16,702
2020-11-19,706
2020-11-20,708
2020-11-23,710
2020-11-26,711
2020-11-28,712
2020-11-29,713
2020-11-30,715
