date,deaths
2020-06-18,1
2020-06-22,2
2020-06-30,3
2020-07-02,4
2020-07-08,5
2020-07-09,9
2020-07-10,13
2020-07-11,15
2020-07-12,18
2020-07-13,20
2020-07-14,24
2020-07-15,26
2020-07-16,28
2020-07-18,32
2020-07-19,34
2020-07-20,39
2020-07-21,41
2020-07-22,44
2020-07-23,45
2020-07-24,49
2020-07-25,51
2020-07-27,53
2020-07-28,55
2020-07-29,60
2020-07-30,62
2020-07-31,64
2020-08-02,73
2020-08-03,75
2020-08-04,79
2020-08-07,80
2020-08-08,82
2020-08-09,83
2020-08-10,85
2020-08-11,86
2020-08-12,90
2020-08-14,91
2020-08-15,93
2020-08-19,94
2020-08-22,95
2020-08-24,97
2020-08-29,98
2020-09-05,100
2020-09-09,101
2020-09-16,102
2020-09-18,103
2020-09-22,104
2020-10-12,105
2020-10-14,106
2020-10-15,108
2020-10-16,109
2020-10-25,110
2020-10-26,111
