date,deaths
2020-05-12,1
2020-06-12,2
2020-07-19,3
2020-08-02,4
2020-08-08,5
2020-08-20,6
2020-08-21,7
2020-08-30,8
2020-09-04,9
2020-09-10,10
2020-09-17,11
2020-09-18,12
2020-10-09,13
2020-10-19,14
2020-10-20,15
2020-10-21,17
2020-10-22,18
2020-10-23,19
2020-10-24,20
2020-10-25,23
2020-10-27,26
2020-10-28,27
2020-10-29,28
2020-10-30,29
2020-10-31,30
2020-11-01,31
2020-11-03,32
2020-11-05,34
2020-11-06,35
2020-11-07,36
2020-11-09,38
2020-11-12,39
2020-11-14,40
2020-11-18,41
2020-11-20,42
2020-11-22,43
2020-11-23,44
2020-11-25,45
2020-11-30,46
2020-12-03,47
2020-12-13,48
2020-12-14,49
2020-12-15,50
2020-12-18,51
