date,deaths
2020-04-25,2
2020-04-26,3
2020-04-30,4
2020-05-08,5
2020-05-09,6
2020-05-16,7
2020-05-17,8
2020-05-21,9
2020-05-25,11
2020-05-26,12
2020-05-27,13
2020-05-29,14
2020-05-31,15
2020-06-01,16
2020-06-02,17
2020-06-03,19
2020-06-04,20
2020-06-05,22
2020-06-06,23
2020-06-08,24
2020-06-09,29
2020-06-10,31
2020-06-11,35
2020-06-12,38
2020-06-14,43
2020-06-15,45
2020-06-16,46
2020-06-17,48
2020-06-19,54
2020-06-20,56
2020-06-21,60
2020-06-22,62
2020-06-23,64
2020-06-24,70
2020-06-25,73
2020-06-26,80
2020-06-27,83
2020-06-28,86
2020-06-29,93
2020-06-30,98
2020-07-01,103
2020-07-02,109
2020-07-03,112
2020-07-04,113
2020-07-05,116
2020-07-06,124
2020-07-07,129
2020-07-08,132
2020-07-09,135
2020-07-10,140
2020-07-12,142
2020-07-13,143
2020-07-14,145
2020-07-15,146
2020-07-16,148
2020-07-17,152
2020-07-21,154
2020-07-22,155
2020-07-23,156
2020-07-25,157
2020-07-29,159
2020-07-30,160
2020-08-01,161
2020-08-02,162
2020-08-04,163
2020-08-05,164
2020-08-06,165
2020-08-08,166
2020-08-10,168
2020-08-11,169
2020-08-19,170
2020-08-24,172
2020-08-28,173
2020-08-30,174
2020-09-04,175
2020-09-07,176
2020-09-15,177
2020-09-17,178
2020-10-02,179
