date,deaths
2020-03-26,2
2020-03-27,3
2020-03-28,4
2020-03-29,5
2020-04-11,6
2020-04-17,7
2020-04-25,8
2020-04-28,9
2020-05-02,10
2020-05-12,11
2020-06-01,12
2020-06-09,14
2020-06-15,15
2020-06-18,17
2020-06-20,19
2020-06-25,20
2020-06-30,21
2020-07-01,23
2020-07-02,24
2020-07-04,26
2020-07-05,28
2020-07-06,29
2020-07-07,33
2020-07-08,36
2020-07-09,41
2020-07-10,46
2020-07-11,50
2020-07-12,54
2020-07-13,66
2020-07-14,76
2020-07-15,85
2020-07-16,91
2020-07-17,104
2020-07-18,109
2020-07-19,112
2020-07-20,123
2020-07-21,128
2020-07-22,141
2020-07-23,161
2020-07-24,172
2020-07-25,181
2020-07-26,196
2020-07-27,217
2020-07-28,236
2020-07-29,255
2020-07-30,270
2020-07-31,287
2020-08-01,304
2020-08-02,316
2020-08-03,337
2020-08-04,348
2020-08-05,361
2020-08-06,382
2020-08-07,396
2020-08-08,411
2020-08-09,434
2020-08-10,457
2020-08-11,468
2020-08-12,479
2020-08-13,488
2020-08-14,496
2020-08-15,505
2020-08-16,519
2020-08-17,527
2020-08-18,539
2020-08-19,546
2020-08-20,551
2020-08-21,561
2020-08-22,565
2020-08-23,569
2020-08-24,584
2020-08-25,587
2020-08-26,592
2020-08-27,599
2020-08-28,603
2020-08-29,609
2020-08-30,611
2020-08-31,613
2020-09-01,617
2020-09-02,623
2020-09-03,625
2020-09-04,628
2020-09-05,631
2020-09-06,635
2020-09-07,636
2020-09-08,640
2020-09-10,646
2020-09-11,650
2020-09-12,651
2020-09-13,652
2020-09-14,656
2020-09-15,665
2020-09-16,670
2020-09-18,677
2020-09-19,685
2020-09-20,688
2020-09-21,694
2020-09-22,695
2020-09-23,699
2020-09-24,706
2020-09-25,712
2020-09-26,718
2020-09-27,719
2020-09-28,723
2020-09-29,724
2020-09-30,725
2020-10-01,727
2020-10-02,735
2020-10-03,736
2020-10-04,741
2020-10-05,744
2020-10-06,745
2020-10-07,750
2020-10-08,754
2020-10-09,756
2020-10-10,759
2020-10-11,763
2020-10-12,764
2020-10-13,766
2020-10-14,770
2020-10-15,772
2020-10-16,774
2020-10-17,779
2020-10-18,782
2020-10-19,784
2020-10-20,788
2020-10-21,792
2020-10-22,797
2020-10-23,798
2020-10-24,807
2020-10-25,808
2020-10-26,810
2020-10-27,812
2020-10-29,813
2020-10-30,814
2020-10-31,815
2020-11-01,817
