date,deaths
2020-04-15,1
2020-05-26,2
2020-05-29,3
2020-05-31,4
2020-06-23,5
2020-06-29,6
2020-06-30,7
2020-07-01,8
2020-07-21,9
2020-07-22,10
2020-07-27,11
2020-07-28,13
2020-07-30,14
2020-07-31,17
2020-08-09,18
2020-08-10,19
2020-08-11,20
2020-08-16,21
2020-08-17,22
2020-08-18,23
2020-08-19,24
2020-08-20,25
2020-08-21,26
2020-08-23,27
2020-08-24,29
2020-08-25,30
2020-08-26,31
2020-08-28,32
2020-08-30,33
2020-08-31,36
2020-09-01,38
2020-09-04,39
2020-09-06,41
2020-09-08,42
2020-09-11,44
2020-09-13,46
2020-09-14,47
2020-09-17,48
2020-09-18,49
2020-09-19,51
2020-09-21,54
2020-09-22,55
2020-09-24,56
2020-09-25,58
2020-09-26,60
2020-09-27,61
2020-09-29,62
2020-10-01,64
2020-10-03,65
2020-10-04,67
2020-10-05,70
2020-10-06,73
2020-10-07,74
2020-10-08,75
2020-10-11,76
2020-10-14,77
2020-10-15,78
2020-10-16,79
2020-10-19,80
2020-10-20,81
2020-10-22,82
