date,deaths
2020-05-15,2
2020-06-17,3
2020-06-24,4
2020-06-29,5
2020-06-30,6
2020-07-09,7
2020-07-11,8
2020-07-17,11
2020-07-20,13
2020-07-23,14
2020-07-29,15
2020-07-30,16
2020-07-31,19
2020-08-01,20
2020-08-06,21
2020-08-11,22
2020-08-12,24
2020-08-14,25
2020-08-16,26
2020-08-18,27
2020-08-21,28
2020-08-25,29
2020-08-26,32
2020-08-28,33
2020-09-06,34
2020-09-07,35
2020-09-08,36
2020-09-11,37
2020-09-14,39
2020-09-18,40
2020-09-19,41
2020-09-22,42
2020-09-25,44
2020-09-27,46
2020-09-28,49
2020-09-30,50
2020-10-01,52
2020-10-02,53
2020-10-03,55
2020-10-04,57
2020-10-05,58
2020-10-07,59
2020-10-08,61
2020-10-11,62
2020-10-13,63
2020-10-16,64
2020-10-17,65
2020-10-18,68
2020-10-24,70
2020-10-25,73
2020-10-27,74
2020-10-29,76
2020-11-01,77
2020-11-03,79
2020-11-04,80
2020-11-05,82
2020-11-08,83
2020-11-11,84
2020-11-12,87
2020-11-15,89
2020-11-16,90
2020-11-17,92
2020-11-19,98
2020-11-22,100
2020-12-10,101
2020-12-13,102
