date,deaths
2020-07-04,1
2020-07-07,2
2020-07-08,3
2020-07-10,4
2020-07-11,5
2020-07-15,6
2020-07-16,10
2020-07-17,11
2020-07-20,12
2020-07-22,13
2020-07-23,14
2020-07-24,16
2020-07-25,17
2020-07-26,20
2020-07-28,21
2020-07-29,22
2020-07-30,23
2020-07-31,24
2020-08-02,25
2020-08-03,26
2020-08-04,27
2020-08-05,30
2020-08-06,31
2020-08-07,33
2020-08-08,35
2020-08-11,36
2020-08-13,37
2020-08-18,38
2020-08-20,39
2020-08-24,41
2020-08-25,42
2020-08-26,44
2020-08-27,46
2020-08-28,48
2020-08-29,50
2020-08-30,52
2020-09-01,53
2020-09-02,54
2020-09-03,55
2020-09-05,57
2020-09-12,59
2020-09-15,60
2020-09-16,61
2020-09-18,63
2020-09-19,64
2020-09-21,66
2020-09-22,67
2020-09-23,68
2020-09-26,71
2020-10-01,73
2020-10-02,75
2020-10-03,77
2020-10-04,78
2020-10-05,79
2020-10-07,80
2020-10-08,82
2020-10-09,83
2020-10-10,85
2020-10-11,87
2020-10-12,89
2020-10-13,90
2020-10-14,91
2020-10-16,97
2020-10-17,98
2020-10-18,101
2020-10-19,104
2020-10-20,106
2020-10-21,108
2020-10-22,109
2020-10-23,112
2020-10-24,117
2020-10-25,119
2020-10-26,123
2020-10-27,125
2020-10-31,129
2020-11-01,135
2020-11-02,136
2020-11-03,137
2020-11-04,138
2020-11-07,140
2020-11-11,141
2020-11-12,143
2020-11-13,144
2020-11-14,147
2020-11-15,148
2020-11-16,149
2020-11-18,150
2020-11-19,151
2020-11-22,153
2020-12-01,154
