date,deaths
2020-03-30,1
2020-06-07,2
2020-06-23,3
2020-06-25,4
2020-06-27,5
2020-06-28,7
2020-06-29,8
2020-07-01,9
2020-07-02,11
2020-07-03,12
2020-07-05,15
2020-07-06,16
2020-07-07,18
2020-07-09,20
2020-07-10,23
2020-07-12,24
2020-07-13,26
2020-07-14,28
2020-07-16,29
2020-07-17,32
2020-07-18,34
2020-07-19,36
2020-07-20,39
2020-07-22,43
2020-07-23,45
2020-07-24,48
2020-07-25,52
2020-07-26,57
2020-07-27,67
2020-07-28,74
2020-07-29,78
2020-07-30,86
2020-07-31,93
2020-08-01,103
2020-08-02,105
2020-08-03,106
2020-08-04,112
2020-08-05,116
2020-08-06,124
2020-08-07,128
2020-08-08,136
2020-08-09,137
2020-08-10,139
2020-08-11,142
2020-08-12,145
2020-08-13,147
2020-08-14,152
2020-08-15,157
2020-08-16,164
2020-08-17,168
2020-08-18,175
2020-08-19,179
2020-08-20,184
2020-08-21,190
2020-08-22,194
2020-08-23,196
2020-08-24,204
2020-08-25,208
2020-08-26,213
2020-08-27,218
2020-08-28,220
2020-08-29,222
2020-08-30,224
2020-08-31,226
2020-09-01,227
2020-09-02,231
2020-09-03,233
2020-09-04,237
2020-09-05,238
2020-09-06,240
2020-09-07,242
2020-09-08,243
2020-09-09,245
2020-09-10,246
2020-09-11,247
2020-09-12,249
2020-09-13,253
2020-09-14,255
2020-09-15,258
2020-09-16,259
2020-09-17,260
2020-09-19,263
2020-09-20,265
2020-09-21,269
2020-09-22,270
2020-09-24,273
2020-09-25,274
2020-09-26,278
2020-09-27,284
2020-09-28,287
2020-09-29,290
2020-09-30,291
2020-10-01,292
2020-10-02,295
2020-10-03,296
2020-10-04,300
2020-10-05,304
2020-10-06,307
2020-10-07,312
2020-10-08,319
2020-10-09,322
2020-10-10,324
2020-10-13,326
2020-10-15,327
2020-10-16,328
2020-10-17,329
2020-10-19,332
2020-10-20,337
2020-10-21,340
2020-10-22,341
2020-10-23,347
2020-10-24,350
2020-10-25,351
2020-10-26,356
2020-10-27,357
2020-10-30,358
2020-10-31,360
2020-11-01,364
2020-11-03,366
2020-11-06,369
2020-11-07,370
2020-11-08,371
2020-11-09,372
2020-11-10,374
2020-11-12,375
2020-11-13,376
2020-11-17,377
2020-11-18,379
2020-11-19,380
2020-11-22,381
