date,deaths
2020-04-07,1
2020-05-11,2
2020-06-01,3
2020-07-01,4
2020-07-04,5
2020-07-11,6
2020-07-21,7
2020-07-22,8
2020-07-24,9
2020-07-27,10
2020-07-30,11
2020-07-31,12
2020-08-07,15
2020-08-08,16
2020-08-09,18
2020-08-10,22
2020-08-11,23
2020-08-12,24
2020-08-13,30
2020-08-14,33
2020-08-15,41
2020-08-16,46
2020-08-17,52
2020-08-18,53
2020-08-19,56
2020-08-20,61
2020-08-21,67
2020-08-22,68
2020-08-23,70
2020-08-24,75
2020-08-25,80
2020-08-26,83
2020-08-27,85
2020-08-29,86
2020-09-01,88
2020-09-03,91
2020-09-04,93
2020-09-06,94
2020-09-07,95
2020-09-09,96
2020-09-10,97
2020-09-12,98
2020-09-14,100
2020-09-17,101
2020-09-18,102
2020-09-22,103
2020-09-30,104
2020-10-05,105
2020-10-09,106
2020-10-11,107
2020-10-12,109
2020-10-16,111
2020-10-23,113
2020-10-25,114
2020-10-26,116
2020-10-28,117
2020-11-01,118
2020-11-04,120
2020-11-07,121
2020-11-08,123
2020-11-09,125
2020-11-12,127
2020-11-14,128
2020-11-17,129
2020-11-18,131
2020-11-19,132
2020-11-20,133
2020-11-22,136
2020-11-23,138
2020-11-24,141
2020-11-29,143
2020-11-30,144
2020-12-01,145
2020-12-03,146
2020-12-04,148
2020-12-05,151
2020-12-06,155
2020-12-07,157
2020-12-08,158
2020-12-09,159
2020-12-11,160
2020-12-12,161
2020-12-14,162
2020-12-15,163
2020-12-17,164
2020-12-22,165
2020-12-23,167
2020-12-24,168
2020-12-26,170
2020-12-28,172
