date,deaths
2020-04-02,1
2020-04-18,2
2020-04-20,3
2020-04-29,4
2020-05-04,6
2020-05-08,7
2020-05-26,9
2020-05-28,10
2020-06-01,11
2020-06-05,12
2020-06-06,13
2020-06-08,15
2020-06-09,16
2020-06-14,17
2020-06-17,18
2020-06-24,19
2020-06-28,20
2020-07-02,22
2020-07-03,23
2020-07-04,24
2020-07-06,25
2020-07-07,28
2020-07-09,29
2020-07-12,30
2020-07-13,31
2020-07-14,32
2020-07-17,33
2020-07-18,35
2020-07-19,38
2020-07-21,39
2020-07-22,44
2020-07-23,47
2020-07-24,52
2020-07-25,55
2020-07-26,59
2020-07-27,63
2020-07-28,66
2020-07-29,71
2020-07-30,73
2020-07-31,79
2020-08-01,83
2020-08-02,86
2020-08-03,89
2020-08-04,90
2020-08-05,94
2020-08-06,98
2020-08-07,100
2020-08-08,103
2020-08-09,105
2020-08-11,112
2020-08-12,116
2020-08-13,123
2020-08-14,128
2020-08-15,135
2020-08-16,138
2020-08-17,140
2020-08-18,146
2020-08-19,154
2020-08-20,161
2020-08-21,171
2020-08-22,173
2020-08-23,180
2020-08-24,188
2020-08-25,194
2020-08-26,200
2020-08-27,201
2020-08-28,204
2020-08-29,207
2020-08-30,208
2020-08-31,211
2020-09-01,214
2020-09-02,218
2020-09-03,223
2020-09-04,228
2020-09-05,231
2020-09-06,232
2020-09-07,238
2020-09-08,245
2020-09-09,248
2020-09-10,255
2020-09-11,265
2020-09-12,269
2020-09-13,273
2020-09-14,280
2020-09-15,285
2020-09-16,290
2020-09-17,294
2020-09-18,297
2020-09-19,303
2020-09-20,308
2020-09-21,313
2020-09-22,315
2020-09-23,319
2020-09-25,322
2020-09-26,326
2020-09-27,331
2020-09-28,334
2020-09-29,335
2020-09-30,347
2020-10-01,354
2020-10-02,361
2020-10-03,373
2020-10-04,377
2020-10-05,391
2020-10-06,407
2020-10-07,411
2020-10-08,415
2020-10-09,420
2020-10-10,424
2020-10-11,432
2020-10-12,435
2020-10-13,445
2020-10-14,456
2020-10-15,465
2020-10-16,473
2020-10-17,477
2020-10-18,484
2020-10-19,494
2020-10-20,509
2020-10-21,518
2020-10-22,531
2020-10-23,536
2020-10-24,543
2020-10-25,556
2020-10-26,562
2020-10-27,567
2020-10-28,572
2020-10-29,577
2020-10-30,582
2020-10-31,586
2020-11-01,589
2020-11-02,596
2020-11-03,601
2020-11-04,603
2020-11-05,609
2020-11-06,612
2020-11-07,619
2020-11-08,628
2020-11-09,639
2020-11-10,641
2020-11-11,643
2020-11-12,649
2020-11-13,651
2020-11-14,656
2020-11-15,657
2020-11-16,664
2020-11-17,670
2020-11-18,673
2020-11-19,678
2020-11-20,682
2020-11-21,687
2020-11-22,690
2020-11-23,694
2020-11-24,701
2020-11-25,705
2020-11-26,709
2020-11-27,721
2020-11-28,729
2020-11-29,735
2020-11-30,736
2020-12-01,739
2020-12-02,742
2020-12-03,748
2020-12-04,755
2020-12-05,763
2020-12-06,768
2020-12-07,775
2020-12-08,779
2020-12-09,787
2020-12-10,790
2020-12-11,794
2020-12-12,798
2020-12-14,799
2020-12-15,804
2020-12-16,805
2020-12-17,807
2020-12-18,809
