date,deaths
2020-06-13,1
2020-06-18,2
2020-06-24,3
2020-06-26,4
2020-07-03,6
2020-07-04,8
2020-07-06,10
2020-07-08,12
2020-07-09,14
2020-07-10,17
2020-07-12,18
2020-07-13,20
2020-07-14,23
2020-07-15,29
2020-07-16,31
2020-07-17,33
2020-07-18,35
2020-07-20,37
2020-07-21,38
2020-07-22,39
2020-07-23,40
2020-07-24,43
2020-07-25,48
2020-07-26,50
2020-07-27,53
2020-07-28,54
2020-07-29,56
2020-07-31,57
2020-08-01,59
2020-08-02,62
2020-08-03,65
2020-08-04,68
2020-08-05,71
2020-08-07,72
2020-08-08,75
2020-08-09,76
2020-08-10,78
2020-08-11,80
2020-08-13,81
2020-08-14,83
2020-08-15,85
2020-08-16,86
2020-08-17,88
2020-08-18,90
2020-08-19,91
2020-08-20,93
2020-08-21,94
2020-08-22,103
2020-08-23,106
2020-08-24,111
2020-08-25,114
2020-08-27,116
2020-08-29,117
2020-08-30,119
2020-08-31,120
2020-09-02,121
2020-09-07,125
2020-09-08,127
2020-09-10,129
2020-09-11,132
2020-09-12,133
2020-09-13,136
2020-09-14,139
2020-09-17,140
2020-09-18,141
2020-09-20,142
2020-09-22,143
2020-09-24,144
2020-09-26,146
2020-09-27,148
2020-09-28,151
2020-09-30,159
2020-10-02,160
2020-10-03,161
2020-10-05,163
2020-10-06,164
2020-10-07,167
2020-10-10,168
2020-10-12,169
2020-10-13,171
2020-10-14,173
2020-10-15,176
2020-10-16,177
2020-10-18,179
2020-10-19,180
2020-10-20,181
2020-10-23,182
