date,deaths
2020-04-10,1
2020-05-09,2
2020-05-21,3
2020-05-26,4
2020-05-28,5
2020-06-27,6
2020-07-03,7
2020-07-07,9
2020-07-10,10
2020-07-11,11
2020-07-12,13
2020-07-13,14
2020-07-14,15
2020-07-15,16
2020-07-16,17
2020-07-18,19
2020-07-22,20
2020-07-23,22
2020-07-25,23
2020-07-27,24
2020-07-29,26
2020-07-30,29
2020-08-03,30
2020-08-07,31
2020-08-08,32
2020-08-10,34
2020-08-12,35
2020-08-15,36
2020-08-17,37
2020-08-22,38
2020-08-24,39
2020-08-29,40
2020-08-30,41
2020-09-02,42
2020-09-03,43
2020-09-06,44
2020-09-09,45
2020-09-11,46
2020-09-15,47
2020-09-16,48
2020-09-17,49
2020-09-19,50
2020-09-20,51
2020-10-01,52
2020-10-04,53
2020-10-05,54
2020-10-06,55
2020-10-14,56
2020-10-16,57
2020-10-17,58
2020-10-19,59
2020-10-25,60
2020-10-26,62
2020-10-27,63
2020-10-30,64
2020-10-31,65
2020-11-10,66
2020-11-22,67
