date,deaths
2020-03-28,1
2020-04-03,2
2020-04-09,3
2020-04-14,4
2020-04-16,5
2020-05-10,6
2020-05-12,7
2020-05-15,8
2020-05-16,9
2020-05-17,10
2020-06-03,11
2020-06-05,13
2020-06-07,15
2020-06-08,16
2020-06-11,17
2020-06-12,18
2020-06-13,19
2020-06-14,20
2020-06-15,22
2020-06-16,26
2020-06-17,27
2020-06-18,29
2020-06-19,32
2020-06-20,34
2020-06-22,37
2020-06-23,38
2020-06-24,47
2020-06-25,55
2020-06-26,58
2020-06-27,61
2020-06-28,62
2020-06-29,66
2020-06-30,73
2020-07-01,76
2020-07-02,87
2020-07-03,98
2020-07-04,105
2020-07-05,114
2020-07-06,131
2020-07-07,165
2020-07-08,184
2020-07-09,202
2020-07-10,237
2020-07-11,257
2020-07-12,276
2020-07-13,304
2020-07-14,327
2020-07-15,349
2020-07-16,366
2020-07-17,393
2020-07-18,419
2020-07-19,429
2020-07-20,456
2020-07-21,483
2020-07-22,510
2020-07-23,539
2020-07-24,562
2020-07-25,586
2020-07-26,607
2020-07-27,647
2020-07-28,689
2020-07-29,710
2020-07-30,741
2020-07-31,769
2020-08-01,793
2020-08-02,806
2020-08-03,837
2020-08-04,864
2020-08-05,885
2020-08-06,910
2020-08-07,936
2020-08-08,967
2020-08-09,999
2020-08-10,1022
2020-08-11,1038
2020-08-12,1058
2020-08-13,1078
2020-08-14,1096
2020-08-15,1120
2020-08-16,1144
2020-08-17,1171
2020-08-18,1195
2020-08-19,1214
2020-08-20,1241
2020-08-21,1256
2020-08-22,1286
2020-08-23,1301
2020-08-24,1321
2020-08-25,1331
2020-08-26,1343
2020-08-27,1359
2020-08-28,1376
2020-08-29,1392
2020-08-30,1406
2020-08-31,1420
2020-09-01,1427
2020-09-02,1436
2020-09-03,1453
2020-09-04,1474
2020-09-05,1486
2020-09-06,1501
2020-09-07,1512
2020-09-08,1526
2020-09-09,1539
2020-09-10,1563
2020-09-11,1573
2020-09-12,1587
2020-09-13,1605
2020-09-14,1611
2020-09-15,1624
2020-09-16,1628
2020-09-17,1639
2020-09-18,1647
2020-09-19,1654
2020-09-20,1656
2020-09-21,1667
2020-09-22,1685
2020-09-23,1697
2020-09-24,1708
2020-09-25,1718
2020-09-26,1737
2020-09-27,1755
2020-09-28,1776
2020-09-29,1787
2020-09-30,1804
2020-10-01,1820
2020-10-02,1839
2020-10-03,1856
2020-10-04,1877
2020-10-05,1901
2020-10-06,1916
2020-10-07,1928
2020-10-08,1934
2020-10-09,1943
2020-10-10,1954
2020-10-11,1961
2020-10-12,1974
2020-10-13,1992
2020-10-14,2009
2020-10-15,2029
2020-10-16,2047
2020-10-17,2071
2020-10-18,2088
2020-10-19,2115
2020-10-20,2154
2020-10-21,2169
2020-10-22,2191
2020-10-23,2218
2020-10-24,2243
2020-10-25,2270
2020-10-26,2294
2020-10-27,2320
2020-10-28,2337
2020-10-29,2351
2020-10-30,2367
2020-10-31,2373
2020-11-01,2385
2020-11-02,2397
2020-11-03,2408
2020-11-04,2417
2020-11-05,2432
2020-11-06,2444
2020-11-07,2450
2020-11-08,2455
2020-11-09,2468
2020-11-10,2479
2020-11-11,2489
2020-11-12,2495
2020-11-13,2501
2020-11-14,2509
2020-11-15,2516
2020-11-16,2520
2020-11-17,2529
2020-11-18,2534
2020-11-19,2543
2020-11-20,2554
2020-11-21,2561
2020-11-22,2566
2020-11-23,2578
2020-11-24,2583
2020-11-25,2587
2020-11-26,2593
2020-11-27,2597
2020-11-28,2603
2020-11-29,2608
2020-11-30,2614
2020-12-01,2620
2020-12-02,2625
2020-12-03,2629
2020-12-04,2638
2020-12-05,2640
2020-12-06,2641
2020-12-07,2642
2020-12-08,2643
