date,deaths
2020-06-15,1
2020-07-15,2
2020-07-16,3
2020-07-24,4
2020-07-27,5
2020-07-29,6
2020-07-30,8
2020-08-02,9
2020-08-03,10
2020-08-04,11
2020-08-05,13
2020-08-07,14
2020-08-11,15
2020-08-12,17
2020-08-14,18
2020-08-15,19
2020-08-21,21
2020-08-25,22
2020-08-30,23
2020-09-01,24
2020-09-07,25
2020-09-08,26
2020-09-16,27
2020-09-18,29
2020-09-23,30
2020-09-25,32
2020-09-27,33
2020-10-05,34
2020-10-07,35
2020-10-16,36
2020-10-17,38
2020-10-21,39
2020-10-22,40
2020-10-23,41
2020-10-27,42
2020-10-30,43
2020-11-02,44
2020-11-25,45
