date,deaths
2020-03-28,538
2020-05-07,802
2020-05-12,101
2020-05-15,197
2020-05-18,290
2020-05-20,352
2020-05-22,394
2020-05-25,470
2020-05-27,503
2020-06-03,605
2020-06-05,729
2020-06-07,803
2020-06-09,868
2020-06-12,102
2020-06-16,231
2020-06-17,260
2020-06-18,291
2020-06-19,304
2020-06-20,353
2020-06-21,369
2020-06-22,397
2020-06-23,422
2020-06-24,452
2020-06-25,473
2020-06-26,489
2020-06-27,508
2020-06-28,549
2020-06-29,595
2020-06-30,644
2020-07-01,13
2020-07-02,345
2020-07-03,619
2020-07-04,710
2020-07-05,748
2020-07-06,787
2020-07-07,820
2020-07-08,863
2020-07-09,890
2020-07-10,65
2020-07-11,91
2020-07-12,121
2020-07-13,147
2020-07-14,190
2020-07-15,222
2020-07-16,254
2020-07-17,284
2020-07-18,298
2020-07-19,326
2020-07-20,362
2020-07-21,389
2020-07-22,411
2020-07-23,440
2020-07-24,462
2020-07-25,481
2020-07-26,502
2020-07-27,534
2020-07-28,582
2020-07-29,599
2020-07-30,666
2020-07-31,686
2020-08-01,41
2020-08-02,348
2020-08-03,628
2020-08-04,724
2020-08-05,762
2020-08-06,798
2020-08-07,829
2020-08-08,867
2020-08-09,898
2020-08-10,72
2020-08-11,100
2020-08-12,124
2020-08-13,163
2020-08-14,192
2020-08-15,225
2020-08-16,259
2020-08-17,287
2020-08-18,300
2020-08-19,328
2020-08-20,364
2020-08-21,391
2020-08-22,412
2020-08-23,443
2020-08-24,468
2020-08-25,483
2020-08-27,535
2020-08-28,585
2020-08-29,602
2020-08-30,670
2020-08-31,688
2020-09-01,44
2020-09-02,351
2020-09-03,629
2020-09-04,725
2020-09-05,763
2020-09-06,800
2020-09-07,830
2020-09-09,901
2020-09-10,73
2020-09-13,164
2020-09-14,195
2020-09-15,227
2020-09-17,289
2020-09-18,301
2020-09-20,367
2020-09-21,393
2020-09-22,416
2020-09-23,445
2020-09-24,469
2020-09-27,537
2020-09-28,586
2020-10-02,329
2020-10-03,604
2020-10-05,727
2020-10-06,765
2020-10-07,801
2020-10-08,831
2020-10-14,165
2020-10-15,196
2020-10-16,229
