date,deaths
2020-04-27,1
2020-05-04,2
2020-05-05,3
2020-05-12,4
2020-05-15,5
2020-05-24,6
2020-05-27,7
2020-05-31,8
2020-06-01,9
2020-06-02,11
2020-06-23,12
2020-06-27,14
2020-06-28,15
2020-06-29,17
2020-07-06,18
2020-07-07,19
2020-07-08,21
2020-07-14,23
2020-07-17,24
2020-07-21,26
2020-07-22,27
2020-07-23,30
2020-07-25,31
2020-07-26,32
2020-07-28,33
2020-07-30,34
2020-07-31,35
2020-08-01,36
2020-08-02,37
2020-08-03,39
2020-08-05,40
2020-08-07,43
2020-08-14,44
2020-08-15,45
2020-08-16,46
2020-08-18,48
2020-08-19,49
2020-08-20,50
2020-08-23,51
2020-08-24,54
2020-08-26,55
2020-08-27,56
2020-08-28,57
2020-08-30,58
2020-08-31,59
2020-09-01,61
2020-09-02,63
2020-09-05,65
2020-09-07,66
2020-09-08,67
2020-09-15,68
2020-09-17,69
2020-09-18,70
2020-09-21,71
2020-09-22,72
2020-09-24,73
2020-09-25,74
2020-09-28,75
2020-10-02,76
2020-10-13,77
2020-10-14,78
2020-10-15,79
2020-10-16,80
2020-10-20,82
2020-10-21,84
2020-10-29,85
2020-10-31,86
2020-11-03,87
