date,deaths
2020-03-21,1
2020-03-25,2
2020-03-29,3
2020-04-05,4
2020-04-17,5
2020-04-26,6
2020-06-28,7
2020-06-29,8
2020-07-04,9
2020-07-05,10
2020-07-13,11
2020-07-15,12
2020-07-18,13
2020-07-19,14
2020-07-20,17
2020-07-21,18
2020-07-23,21
2020-07-26,22
2020-07-27,28
2020-07-28,34
2020-07-29,35
2020-07-30,37
2020-07-31,39
2020-08-01,44
2020-08-02,45
2020-08-03,50
2020-08-04,51
2020-08-05,53
2020-08-06,58
2020-08-07,60
2020-08-08,61
2020-08-09,65
2020-08-10,66
2020-08-11,68
2020-08-12,71
2020-08-14,76
2020-08-15,82
2020-08-16,84
2020-08-17,88
2020-08-18,91
2020-08-19,93
2020-08-20,99
2020-08-21,106
2020-08-22,115
2020-08-23,117
2020-08-24,125
2020-08-25,130
2020-08-26,136
2020-08-27,138
2020-08-28,141
2020-08-29,147
2020-08-30,156
2020-08-31,159
2020-09-01,164
2020-09-02,169
2020-09-03,173
2020-09-04,178
2020-09-05,182
2020-09-06,187
2020-09-07,193
2020-09-08,204
2020-09-09,208
2020-09-10,212
2020-09-11,215
2020-09-12,222
2020-09-13,226
2020-09-14,234
2020-09-15,241
2020-09-16,243
2020-09-17,244
2020-09-18,249
2020-09-19,251
2020-09-20,254
2020-09-21,266
2020-09-22,275
2020-09-23,282
2020-09-24,288
2020-09-25,298
2020-09-26,303
2020-09-27,307
2020-09-28,321
2020-09-29,328
2020-09-30,332
2020-10-01,338
2020-10-02,342
2020-10-03,350
2020-10-04,360
2020-10-05,368
2020-10-06,375
2020-10-07,384
2020-10-08,385
2020-10-09,393
2020-10-10,396
2020-10-11,401
2020-10-12,409
2020-10-13,414
2020-10-14,422
2020-10-15,428
2020-10-16,429
2020-10-17,437
2020-10-18,443
2020-10-19,450
2020-10-20,457
2020-10-21,463
2020-10-22,467
2020-10-23,477
2020-10-24,485
2020-10-25,494
2020-10-26,501
2020-10-27,510
2020-10-28,517
2020-10-29,524
2020-10-30,532
2020-10-31,534
2020-11-01,537
2020-11-02,541
2020-11-03,543
2020-11-04,544
2020-11-05,550
2020-11-06,551
2020-11-07,556
2020-11-08,558
2020-11-09,564
2020-11-10,570
2020-11-11,574
2020-11-12,577
2020-11-13,579
2020-11-15,581
2020-11-16,584
2020-11-17,587
2020-11-18,589
2020-11-19,591
2020-11-21,592
2020-11-24,593
