date,deaths
2020-03-28,1
2020-04-25,2
2020-05-21,3
2020-06-05,4
2020-06-19,5
2020-06-24,7
2020-07-14,8
2020-07-15,10
2020-07-17,11
2020-07-18,12
2020-07-21,15
2020-07-22,17
2020-07-23,18
2020-07-25,19
2020-07-27,20
2020-07-28,21
2020-07-29,22
2020-08-01,23
2020-08-05,25
2020-08-11,26
2020-08-12,28
2020-08-13,29
2020-08-14,31
2020-08-16,32
2020-08-18,34
2020-08-19,35
2020-08-20,36
2020-08-21,38
2020-08-22,39
2020-08-24,42
2020-08-26,43
2020-08-31,44
2020-09-09,45
2020-09-10,46
2020-09-17,47
2020-09-18,48
2020-09-21,49
2020-09-25,50
2020-09-26,52
2020-10-01,53
2020-10-08,54
2020-10-12,55
2020-10-13,56
2020-10-15,57
2020-10-26,58
