date,deaths
2020-03-26,98
2020-03-27,103
2020-03-29,117
2020-04-03,122
2020-04-07,167
2020-04-22,80
2020-05-02,65
2020-05-31,133
2020-06-09,180
2020-06-12,19
2020-06-16,46
2020-06-20,69
2020-06-24,91
2020-06-26,99
2020-06-28,110
2020-06-30,125
2020-07-01,5
2020-07-03,123
2020-07-04,141
2020-07-06,161
2020-07-08,174
2020-07-09,181
2020-07-10,11
2020-07-11,15
2020-07-12,21
2020-07-13,26
2020-07-14,29
2020-07-15,36
2020-07-17,48
2020-07-19,57
2020-07-20,70
2020-07-21,73
2020-07-22,81
2020-07-23,85
2020-07-24,93
2020-07-26,101
2020-07-27,105
2020-07-28,111
2020-07-29,119
2020-07-30,127
2020-07-31,138
2020-08-01,7
2020-08-02,67
2020-08-04,145
2020-08-05,153
2020-08-06,164
2020-08-07,171
2020-08-08,177
2020-08-09,184
2020-08-10,14
2020-08-11,17
2020-08-12,22
2020-08-13,27
2020-08-14,32
2020-08-15,39
2020-08-18,53
2020-08-19,60
2020-08-20,72
2020-08-21,76
2020-08-24,96
2020-08-25,97
2020-08-26,102
2020-08-27,109
2020-08-28,113
2020-08-30,130
2020-08-31,140
2020-09-04,149
2020-09-05,155
2020-09-06,166
2020-09-08,179
2020-09-09,185
2020-09-11,18
2020-09-14,34
2020-09-15,41
2020-09-17,49
2020-09-19,63
2020-09-21,78
2020-09-22,82
2020-09-23,88
2020-09-28,116
2020-09-29,120
2020-09-30,132
2020-10-01,3
2020-10-02,64
2020-10-03,121
2020-10-05,151
2020-10-06,160
2020-10-08,173
2020-10-10,8
2020-10-13,23
2020-10-14,28
2020-10-16,44
2020-10-18,51
2020-10-19,55
2020-10-20,68
2020-10-22,79
2020-10-23,84
2020-10-24,90
