date,deaths
2020-03-30,1
2020-04-07,2
2020-04-24,3
2020-04-27,4
2020-04-28,5
2020-05-09,7
2020-05-10,8
2020-05-11,10
2020-05-20,12
2020-05-21,13
2020-05-23,15
2020-05-27,16
2020-05-28,18
2020-05-29,19
2020-05-31,20
2020-06-01,21
2020-06-03,25
2020-06-06,26
2020-06-09,30
2020-06-19,31
2020-06-22,33
2020-06-23,36
2020-06-24,37
2020-06-26,38
2020-06-27,40
2020-06-28,42
2020-06-30,43
2020-07-01,46
2020-07-02,48
2020-07-03,52
2020-07-04,56
2020-07-05,57
2020-07-07,59
2020-07-08,64
2020-07-09,71
2020-07-10,73
2020-07-11,75
2020-07-12,82
2020-07-13,89
2020-07-16,100
2020-07-17,110
2020-07-18,114
2020-07-19,120
2020-07-20,128
2020-07-21,135
2020-07-22,144
2020-07-23,158
2020-07-24,167
2020-07-25,175
2020-07-26,182
2020-07-27,189
2020-07-28,198
2020-07-29,209
2020-07-30,222
2020-07-31,233
2020-08-01,240
2020-08-03,246
2020-08-04,252
2020-08-05,261
2020-08-06,270
2020-08-07,277
2020-08-08,284
2020-08-09,292
2020-08-10,300
2020-08-11,304
2020-08-12,314
2020-08-13,320
2020-08-14,324
2020-08-15,327
2020-08-16,332
2020-08-17,337
2020-08-18,342
2020-08-19,348
2020-08-20,351
2020-08-21,356
2020-08-22,358
2020-08-23,362
2020-08-24,370
2020-08-25,372
2020-08-26,375
2020-08-27,377
2020-08-28,383
2020-08-29,384
2020-08-30,386
2020-08-31,392
2020-09-01,393
2020-09-02,396
2020-09-03,398
2020-09-04,401
2020-09-05,407
2020-09-06,411
2020-09-07,414
2020-09-08,417
2020-09-09,419
2020-09-10,422
2020-09-11,424
2020-09-13,427
2020-09-14,431
2020-09-15,433
2020-09-16,435
2020-09-17,436
2020-09-19,438
2020-09-20,439
2020-09-21,440
2020-09-22,441
2020-09-24,442
2020-09-25,444
2020-09-26,445
2020-09-28,446
2020-09-30,448
2020-10-01,451
2020-10-02,453
2020-10-03,455
2020-10-04,456
2020-10-05,457
2020-10-06,458
2020-10-07,460
2020-10-08,462
2020-10-09,465
2020-10-10,467
2020-10-11,469
2020-10-12,471
2020-10-14,472
2020-10-15,475
2020-10-16,478
2020-10-17,479
2020-10-19,480
2020-10-20,483
2020-10-21,484
2020-10-22,489
2020-10-23,491
2020-10-24,494
2020-10-25,497
2020-10-26,502
2020-10-29,504
2020-10-31,506
2020-11-01,507
2020-11-02,508
2020-11-05,510
2020-11-06,511
2020-11-08,512
2020-11-09,516
2020-11-12,517
2020-11-13,518
2020-11-16,519
2020-11-17,522
2020-11-18,523
2020-11-19,525
2020-11-20,531
2020-11-21,533
2020-11-23,537
2020-11-25,540
2020-11-27,541
2020-11-30,543
2020-12-01,545
2020-12-02,546
2020-12-03,547
2020-12-04,548
2020-12-05,549
2020-12-09,551
2020-12-10,552
2020-12-11,553
2020-12-12,555
2020-12-14,556
