date,deaths
2020-03-21,2
2020-03-26,3
2020-04-01,4
2020-04-14,6
2020-04-30,7
2020-06-11,8
2020-06-24,9
2020-06-25,10
2020-06-26,11
2020-06-28,12
2020-06-29,13
2020-07-05,14
2020-07-07,16
2020-07-09,17
2020-07-10,18
2020-07-13,20
2020-07-16,21
2020-07-17,24
2020-07-18,25
2020-07-20,26
2020-07-21,27
2020-07-22,28
2020-07-24,30
2020-07-25,31
2020-07-26,33
2020-07-27,35
2020-07-28,38
2020-07-29,42
2020-07-30,46
2020-07-31,48
2020-08-01,49
2020-08-02,50
2020-08-03,51
2020-08-04,52
2020-08-06,55
2020-08-08,56
2020-08-09,58
2020-08-10,62
2020-08-11,67
2020-08-12,69
2020-08-13,76
2020-08-14,77
2020-08-15,82
2020-08-16,83
2020-08-17,85
2020-08-18,93
2020-08-19,97
2020-08-20,105
2020-08-21,108
2020-08-22,114
2020-08-23,117
2020-08-24,124
2020-08-25,128
2020-08-26,133
2020-08-27,142
2020-08-28,145
2020-08-29,149
2020-08-30,152
2020-08-31,157
2020-09-01,161
2020-09-02,164
2020-09-03,170
2020-09-04,176
2020-09-05,179
2020-09-06,183
2020-09-07,189
2020-09-08,192
2020-09-09,197
2020-09-10,200
2020-09-11,202
2020-09-13,204
2020-09-14,210
2020-09-15,212
2020-09-17,215
2020-09-18,217
2020-09-19,219
2020-09-20,226
2020-09-21,232
2020-09-22,236
2020-09-23,240
2020-09-24,242
2020-09-25,246
2020-09-27,248
2020-09-28,251
2020-09-29,254
2020-09-30,257
2020-10-02,260
2020-10-03,265
2020-10-04,267
2020-10-05,272
2020-10-06,275
2020-10-07,280
2020-10-09,284
2020-10-10,288
2020-10-11,290
2020-10-12,291
2020-10-13,292
2020-10-14,294
2020-10-15,296
2020-10-16,298
2020-10-17,299
2020-10-18,301
2020-10-19,304
2020-10-20,308
2020-10-21,309
2020-10-22,310
2020-10-23,312
2020-10-27,313
