date,deaths
2020-07-06,1
2020-07-09,2
2020-07-10,4
2020-07-11,5
2020-07-15,6
2020-07-16,7
2020-07-17,9
2020-07-18,11
2020-07-22,13
2020-07-23,14
2020-07-24,15
2020-07-25,16
2020-07-26,17
2020-07-27,19
2020-07-28,20
2020-07-29,21
2020-07-30,23
2020-07-31,25
2020-08-01,27
2020-08-02,29
2020-08-03,32
2020-08-04,33
2020-08-05,37
2020-08-06,41
2020-08-08,42
2020-08-09,43
2020-08-10,47
2020-08-11,49
2020-08-12,52
2020-08-14,54
2020-08-15,55
2020-08-16,58
2020-08-17,59
2020-08-18,60
2020-08-19,61
2020-08-20,64
2020-08-21,65
2020-08-24,67
2020-08-26,68
2020-08-28,71
2020-08-29,72
2020-08-31,74
2020-09-01,78
2020-09-02,80
2020-09-03,82
2020-09-05,83
2020-09-06,84
2020-09-07,86
2020-09-08,88
2020-09-10,90
2020-09-11,91
2020-09-12,93
2020-09-13,94
2020-09-14,95
2020-09-16,97
2020-09-19,98
2020-09-21,99
2020-09-22,102
2020-09-24,103
2020-09-27,104
2020-09-29,107
2020-10-01,108
2020-10-02,110
2020-10-03,111
2020-10-05,113
2020-10-06,114
2020-10-08,115
2020-10-09,117
2020-10-14,119
2020-10-15,120
2020-10-17,122
2020-10-22,123
