date,deaths
2020-04-25,1
2020-04-30,2
2020-06-03,3
2020-07-15,4
2020-07-16,5
2020-07-23,6
2020-07-30,7
2020-08-01,8
2020-08-06,9
2020-08-07,10
2020-08-08,11
2020-08-09,12
2020-08-10,13
2020-08-11,14
2020-08-12,15
2020-08-15,17
2020-08-18,20
2020-08-19,21
2020-08-20,22
2020-08-22,24
2020-08-23,26
2020-08-24,29
2020-08-26,32
2020-08-28,36
2020-08-29,37
2020-08-30,38
2020-08-31,40
2020-09-01,41
2020-09-04,44
2020-09-05,46
2020-09-07,51
2020-09-09,52
2020-09-10,54
2020-09-11,59
2020-09-12,62
2020-09-14,63
2020-09-15,64
2020-09-18,67
2020-09-20,68
2020-09-21,70
2020-09-22,71
2020-09-25,73
2020-09-27,74
2020-09-28,76
2020-09-30,77
2020-10-01,78
2020-10-02,79
2020-10-05,82
2020-10-07,84
2020-10-08,86
2020-10-09,87
2020-10-11,91
2020-10-12,94
2020-10-14,95
2020-10-16,96
2020-10-17,98
2020-10-18,101
2020-10-19,102
2020-10-20,104
2020-10-22,106
2020-10-23,107
2020-10-25,110
2020-10-26,111
2020-10-27,113
2020-10-28,114
2020-10-29,115
2020-10-31,116
2020-11-01,117
2020-11-02,118
2020-11-03,119
2020-11-05,120
2020-11-06,121
2020-11-09,123
2020-11-10,125
2020-11-11,126
2020-11-12,127
2020-11-13,128
2020-11-15,129
2020-11-16,130
2020-11-17,131
2020-11-18,133
2020-11-22,134
2020-11-23,136
2020-11-26,137
