date,deaths
2020-06-06,56
2020-06-22,28
2020-07-01,1
2020-07-03,43
2020-07-05,51
2020-07-08,61
2020-07-10,5
2020-07-12,7
2020-07-14,8
2020-07-15,11
2020-07-17,14
2020-07-18,19
2020-07-20,26
2020-07-24,30
2020-07-25,34
2020-07-26,37
2020-07-27,39
2020-07-28,41
2020-07-29,42
2020-07-30,46
2020-07-31,50
2020-08-01,3
2020-08-03,45
2020-08-05,55
2020-08-06,58
2020-08-07,59
2020-08-15,12
2020-08-17,15
2020-08-18,20
2020-08-19,23
2020-08-20,27
2020-08-23,29
2020-08-25,35
2020-08-30,49
2020-09-02,24
2020-09-16,13
2020-09-18,22
2020-10-15,9
