date,deaths
2020-06-30,1
2020-07-03,2
2020-07-04,3
2020-07-08,4
2020-07-10,5
2020-07-12,6
2020-07-13,7
2020-07-15,8
2020-07-16,9
2020-07-23,10
2020-07-27,11
2020-07-28,12
2020-07-29,14
2020-07-30,16
2020-07-31,17
2020-08-06,18
2020-08-07,19
2020-08-08,20
2020-08-10,21
2020-08-11,22
2020-08-12,23
2020-08-17,24
2020-08-19,25
2020-08-20,26
2020-08-24,27
2020-08-25,29
2020-08-27,30
2020-08-29,31
2020-08-30,32
2020-09-01,33
2020-09-02,34
2020-09-03,35
2020-09-05,36
2020-09-06,37
2020-09-07,38
2020-09-08,39
2020-09-11,40
2020-09-19,41
2020-10-09,42
2020-10-15,43
2020-10-17,44
2020-10-20,45
2020-10-21,46
2020-11-11,47
2020-11-27,48
