date,deaths
2020-03-25,1
2020-06-02,2
2020-06-13,3
2020-06-15,4
2020-06-23,5
2020-06-26,6
2020-06-27,7
2020-07-04,9
2020-07-06,11
2020-07-09,12
2020-07-10,14
2020-07-13,15
2020-07-14,18
2020-07-17,19
2020-07-18,21
2020-07-19,24
2020-07-20,25
2020-07-21,26
2020-07-22,29
2020-07-24,32
2020-07-25,33
2020-07-27,35
2020-07-28,37
2020-07-29,38
2020-07-30,39
2020-07-31,42
2020-08-01,45
2020-08-02,46
2020-08-03,50
2020-08-04,52
2020-08-05,57
2020-08-07,59
2020-08-08,60
2020-08-09,62
2020-08-10,67
2020-08-11,71
2020-08-12,74
2020-08-13,76
2020-08-14,81
2020-08-15,83
2020-08-17,90
2020-08-18,93
2020-08-19,95
2020-08-20,102
2020-08-21,104
2020-08-22,107
2020-08-24,110
2020-08-25,113
2020-08-26,116
2020-08-27,117
2020-08-28,121
2020-08-29,123
2020-08-31,128
2020-09-02,131
2020-09-03,132
2020-09-04,137
2020-09-05,141
2020-09-06,143
2020-09-07,148
2020-09-08,151
2020-09-09,152
2020-09-10,154
2020-09-11,156
2020-09-13,158
2020-09-14,165
2020-09-15,166
2020-09-16,167
2020-09-17,169
2020-09-18,171
2020-09-19,172
2020-09-20,175
2020-09-21,180
2020-09-22,184
2020-09-26,186
2020-09-27,187
2020-09-28,189
2020-09-29,190
2020-10-01,192
2020-10-02,195
2020-10-03,198
2020-10-04,199
2020-10-05,201
2020-10-06,205
2020-10-07,208
2020-10-08,210
2020-10-09,212
2020-10-11,213
2020-10-13,216
2020-10-15,217
2020-10-16,220
2020-10-18,221
2020-10-20,224
2020-10-21,225
2020-10-22,227
2020-10-23,228
2020-10-25,229
2020-10-27,231
2020-10-28,232
2020-10-30,233
2020-11-02,234
2020-11-03,235
2020-11-04,236
2020-11-06,237
2020-11-07,238
2020-11-09,240
2020-11-11,242
2020-11-12,243
2020-11-13,245
2020-11-15,247
2020-11-20,248
2020-11-21,249
2020-11-22,251
2020-11-24,253
2020-11-27,254
2020-12-03,255
2020-12-05,256
2020-12-11,258
