date,deaths
2020-07-07,1
2020-07-08,2
2020-07-15,3
2020-07-17,4
2020-07-20,5
2020-07-25,6
2020-07-27,7
2020-07-28,8
2020-07-30,10
2020-07-31,11
2020-08-02,12
2020-08-06,13
2020-08-09,15
2020-08-11,16
2020-08-13,17
2020-08-18,18
2020-08-21,19
2020-08-22,20
2020-08-24,22
2020-08-26,23
2020-08-27,26
2020-08-29,27
2020-09-04,28
2020-09-06,29
2020-09-07,30
2020-09-08,31
2020-09-11,32
2020-09-13,33
2020-09-14,34
2020-09-15,35
2020-09-16,37
2020-09-18,38
2020-09-25,39
2020-09-26,40
2020-09-30,41
2020-10-01,42
2020-10-06,44
2020-10-07,45
2020-10-08,46
2020-10-09,48
2020-10-12,49
2020-10-16,50
2020-10-20,51
2020-10-24,52
2020-10-27,53
2020-10-30,54
2020-11-02,55
2020-11-14,57
