date,deaths
2020-05-26,33
2020-07-01,1
2020-07-12,6
2020-07-13,10
2020-07-15,13
2020-07-20,25
2020-07-27,38
2020-07-31,41
2020-08-07,45
2020-08-09,46
2020-08-11,3
2020-08-12,7
2020-08-18,19
2020-08-23,31
2020-08-26,34
2020-09-02,23
2020-09-11,4
2020-09-12,8
2020-09-14,11
2020-09-15,15
2020-09-16,17
2020-09-19,21
2020-09-20,26
2020-09-21,27
2020-09-22,29
2020-09-25,32
2020-09-26,37
2020-09-27,40
2020-10-02,22
2020-10-04,42
2020-10-05,43
2020-10-10,2
2020-10-12,5
2020-10-16,16
2020-10-17,18
2020-10-19,20
2020-10-20,24
2020-10-23,30
