date,deaths
2020-05-09,85
2020-06-06,80
2020-06-07,84
2020-06-16,17
2020-06-19,27
2020-06-20,31
2020-06-22,38
2020-06-25,51
2020-06-26,56
2020-06-28,61
2020-07-02,29
2020-07-06,81
2020-07-14,13
2020-07-15,14
2020-07-16,18
2020-07-17,22
2020-07-18,25
2020-07-21,35
2020-07-23,42
2020-07-24,45
2020-07-25,52
2020-07-26,58
2020-07-28,62
2020-07-29,66
2020-07-30,71
2020-07-31,75
2020-08-01,1
2020-08-03,70
2020-08-04,76
2020-08-05,79
2020-08-06,83
2020-08-09,86
2020-08-10,4
2020-08-11,6
2020-08-12,9
2020-08-13,10
2020-08-15,15
2020-08-16,19
2020-08-17,23
2020-08-18,26
2020-08-19,28
2020-08-20,32
2020-08-21,37
2020-08-22,39
2020-08-24,49
2020-08-25,55
2020-08-26,59
2020-08-27,60
2020-08-29,67
2020-08-30,72
2020-09-01,2
2020-09-04,77
2020-09-09,88
2020-09-11,8
2020-09-13,11
2020-09-15,16
2020-09-17,24
2020-09-22,40
2020-09-24,50
2020-10-05,78
2020-10-17,20
2020-10-20,30
