date,deaths
2020-06-26,1
2020-07-08,2
2020-07-09,3
2020-07-13,4
2020-07-16,6
2020-07-21,8
2020-07-25,9
2020-07-26,10
2020-07-28,11
2020-07-29,12
2020-07-30,13
2020-08-02,14
2020-08-08,15
2020-08-12,16
2020-08-18,17
2020-08-21,18
2020-08-22,19
2020-09-05,20
2020-09-13,21
2020-09-17,22
2020-09-20,25
2020-09-25,26
2020-09-28,27
2020-10-06,28
2020-10-07,29
2020-10-08,30
2020-10-11,31
2020-10-13,32
2020-10-14,33
2020-10-17,34
2020-10-19,35
2020-10-25,36
2020-10-31,38
2020-11-02,40
2020-11-03,41
2020-11-04,42
2020-11-11,44
2020-12-08,45
