date,deaths
2020-04-25,1
2020-07-19,2
2020-07-21,3
2020-08-07,5
2020-08-10,6
2020-08-12,7
2020-08-14,8
2020-08-16,9
2020-08-19,10
2020-08-20,11
2020-08-23,12
2020-08-30,13
2020-08-31,14
2020-09-04,15
2020-09-06,16
2020-09-07,17
2020-09-08,18
2020-09-12,19
2020-09-13,20
2020-09-14,21
2020-09-15,22
2020-09-21,23
2020-09-24,24
2020-09-25,25
2020-09-28,28
2020-10-06,29
2020-10-07,30
2020-10-13,31
2020-10-19,32
2020-10-27,33
2020-10-28,34
2020-11-04,35
2020-11-09,36
2020-11-10,38
2020-11-11,40
2020-11-23,41
