date,deaths
2020-05-19,1
2020-05-27,2
2020-06-01,3
2020-06-04,6
2020-06-06,7
2020-06-07,9
2020-06-08,14
2020-06-09,16
2020-06-10,19
2020-06-11,22
2020-06-12,25
2020-06-13,28
2020-06-14,33
2020-06-15,38
2020-06-16,45
2020-06-17,49
2020-06-18,56
2020-06-19,60
2020-06-20,65
2020-06-21,73
2020-06-22,84
2020-06-23,93
2020-06-24,102
2020-06-25,107
2020-06-26,128
2020-06-27,131
2020-06-28,137
2020-06-29,146
2020-06-30,152
2020-07-01,160
2020-07-02,172
2020-07-03,187
2020-07-04,195
2020-07-05,202
2020-07-06,217
2020-07-07,230
2020-07-08,242
2020-07-09,251
2020-07-10,261
2020-07-11,272
2020-07-12,278
2020-07-13,284
2020-07-14,295
2020-07-15,303
2020-07-16,310
2020-07-17,312
2020-07-18,319
2020-07-20,325
2020-07-21,331
2020-07-22,336
2020-07-23,337
2020-07-24,340
2020-07-25,344
2020-07-26,346
2020-07-27,347
2020-07-28,349
2020-07-29,350
2020-07-30,352
2020-07-31,353
2020-08-02,355
2020-08-03,358
2020-08-04,359
2020-08-05,360
2020-08-06,364
2020-08-07,365
2020-08-10,368
2020-08-11,371
2020-08-13,374
2020-08-14,376
2020-08-16,378
2020-08-17,380
2020-08-18,381
2020-08-20,384
2020-08-22,387
2020-08-23,388
2020-08-24,393
2020-08-26,396
2020-08-27,397
2020-08-28,399
2020-08-29,400
2020-08-30,402
2020-09-01,405
2020-09-03,406
2020-09-08,407
2020-09-09,410
2020-09-10,411
2020-09-15,412
2020-09-21,413
2020-09-22,414
2020-09-23,415
2020-09-24,416
2020-09-26,417
2020-09-29,418
2020-10-05,420
2020-10-06,421
2020-10-09,423
2020-10-12,424
2020-10-14,425
2020-10-16,427
2020-10-19,428
2020-10-22,429
2020-10-23,430
2020-10-24,431
2020-10-25,432
2020-10-27,434
2020-10-29,435
2020-11-09,436
2020-11-11,438
2020-11-13,439
2020-11-16,440
2020-11-17,441
2020-11-19,444
2020-11-20,445
2020-11-21,446
2020-11-25,447
2020-11-28,448
2020-12-01,449
2020-12-02,450
2020-12-03,451
2020-12-04,453
2020-12-05,454
2020-12-07,456
2020-12-16,457
2020-12-21,458
2020-12-26,459
