date,deaths
2020-05-05,1
2020-05-20,2
2020-06-18,3
2020-07-21,4
2020-07-24,5
2020-07-28,6
2020-08-09,7
2020-08-13,8
2020-08-23,9
2020-08-25,10
2020-08-28,12
2020-08-29,14
2020-08-30,15
2020-08-31,17
2020-09-02,19
2020-09-04,20
2020-09-05,21
2020-09-08,22
2020-09-09,24
2020-09-10,25
2020-09-11,26
2020-09-12,27
2020-09-13,28
2020-09-16,29
2020-09-18,30
2020-09-21,31
2020-09-22,33
2020-09-26,37
2020-09-28,38
2020-09-29,41
2020-09-30,44
2020-10-01,46
2020-10-02,49
2020-10-05,51
2020-10-06,54
2020-10-08,56
2020-10-14,58
2020-10-15,60
2020-10-16,61
2020-10-17,62
2020-10-18,64
2020-10-19,66
2020-10-20,70
2020-10-21,72
2020-10-22,74
2020-10-23,75
2020-10-24,76
2020-10-25,77
2020-10-26,78
