date,deaths
2020-03-21,1
2020-03-30,2
2020-04-15,3
2020-04-28,4
2020-06-13,5
2020-06-17,6
2020-07-01,7
2020-07-06,8
2020-07-07,10
2020-07-12,11
2020-07-21,12
2020-07-22,13
2020-07-24,15
2020-07-25,16
2020-07-29,17
2020-08-01,18
2020-08-08,19
2020-08-12,20
2020-08-15,21
2020-08-16,22
2020-08-18,23
2020-08-21,24
2020-08-22,26
2020-08-23,27
2020-08-25,28
2020-08-29,30
2020-09-01,31
2020-09-02,33
2020-09-04,34
2020-09-05,35
2020-09-07,36
2020-09-08,38
2020-09-09,39
2020-09-11,40
2020-09-12,42
2020-09-14,43
2020-09-15,45
2020-09-16,47
2020-09-17,49
2020-09-18,50
2020-09-21,51
2020-09-23,53
2020-09-26,54
2020-09-27,56
2020-09-28,58
2020-09-30,59
2020-10-01,63
2020-10-03,66
2020-10-04,68
2020-10-05,69
2020-10-06,71
2020-10-07,72
2020-10-09,74
2020-10-11,76
2020-10-12,77
2020-10-15,78
2020-10-17,79
2020-10-18,81
2020-10-19,82
2020-10-20,85
2020-10-21,86
2020-10-22,88
2020-10-23,93
2020-10-24,96
2020-10-26,97
2020-10-27,98
2020-10-29,101
2020-10-30,104
2020-10-31,106
2020-11-01,107
2020-11-02,109
2020-11-03,112
2020-11-04,115
2020-11-05,116
2020-11-07,117
2020-11-08,118
2020-11-10,119
2020-11-12,125
2020-11-13,126
2020-11-14,129
2020-11-15,130
2020-11-17,131
2020-11-18,135
2020-11-20,137
2020-11-22,138
2020-11-23,140
2020-11-24,141
2020-11-25,142
2020-11-27,143
