date,deaths
2020-05-23,1
2020-06-26,2
2020-06-27,3
2020-06-28,5
2020-07-02,7
2020-07-04,8
2020-07-05,9
2020-07-06,10
2020-07-07,12
2020-07-10,13
2020-07-11,15
2020-07-12,17
2020-07-13,21
2020-07-16,23
2020-07-17,25
2020-07-20,26
2020-07-22,28
2020-07-23,32
2020-07-24,34
2020-07-28,38
2020-07-29,40
2020-07-30,43
2020-07-31,46
2020-08-01,47
2020-08-02,49
2020-08-03,52
2020-08-04,53
2020-08-07,54
2020-08-08,55
2020-08-10,57
2020-08-13,60
2020-08-14,62
2020-08-16,63
2020-08-17,64
2020-08-18,65
2020-08-19,67
2020-08-20,68
2020-08-21,69
2020-08-22,70
2020-08-23,71
2020-08-24,73
2020-08-25,74
2020-08-28,75
2020-09-01,76
2020-09-08,78
2020-09-10,79
2020-09-11,81
2020-09-15,82
2020-09-28,83
2020-09-30,84
2020-10-07,85
2020-10-11,86
2020-10-14,87
2020-10-21,88
2020-11-10,90
2020-12-01,91
