date,deaths
2020-03-26,1
2020-04-15,2
2020-04-17,3
2020-04-18,4
2020-04-22,5
2020-04-23,6
2020-05-01,7
2020-05-15,8
2020-05-27,9
2020-05-30,10
2020-06-02,11
2020-06-04,12
2020-06-05,13
2020-06-08,15
2020-06-10,17
2020-06-13,18
2020-06-15,19
2020-06-17,20
2020-06-21,21
2020-06-24,23
2020-06-25,24
2020-06-26,25
2020-06-27,27
2020-06-29,31
2020-07-02,32
2020-07-04,33
2020-07-05,34
2020-07-06,35
2020-07-09,36
2020-07-10,37
2020-07-13,39
2020-07-14,42
2020-07-15,44
2020-07-18,46
2020-07-19,49
2020-07-20,51
2020-07-21,54
2020-07-22,55
2020-07-23,60
2020-07-24,63
2020-07-25,67
2020-07-26,76
2020-07-27,81
2020-07-28,86
2020-07-29,90
2020-07-30,95
2020-07-31,100
2020-08-01,107
2020-08-02,111
2020-08-03,117
2020-08-04,125
2020-08-05,130
2020-08-06,137
2020-08-07,145
2020-08-08,153
2020-08-09,156
2020-08-10,163
2020-08-11,174
2020-08-12,182
2020-08-13,192
2020-08-14,195
2020-08-15,208
2020-08-16,216
2020-08-17,230
2020-08-18,245
2020-08-19,253
2020-08-20,267
2020-08-21,274
2020-08-22,281
2020-08-23,288
2020-08-24,300
2020-08-25,307
2020-08-26,310
2020-08-27,314
2020-08-28,318
2020-08-29,327
2020-08-30,332
2020-08-31,347
2020-09-01,351
2020-09-02,354
2020-09-03,360
2020-09-04,375
2020-09-05,381
2020-09-06,383
2020-09-07,391
2020-09-08,401
2020-09-09,409
2020-09-10,413
2020-09-11,419
2020-09-12,426
2020-09-13,431
2020-09-14,441
2020-09-15,447
2020-09-16,449
2020-09-17,456
2020-09-18,459
2020-09-19,465
2020-09-20,469
2020-09-21,473
2020-09-22,478
2020-09-23,484
2020-09-24,488
2020-09-25,490
2020-09-26,492
2020-09-27,494
2020-09-28,495
2020-09-29,497
2020-09-30,504
2020-10-01,506
2020-10-02,507
2020-10-03,515
2020-10-04,516
2020-10-05,517
2020-10-06,522
2020-10-07,525
2020-10-08,526
2020-10-09,527
2020-10-11,529
2020-10-12,532
2020-10-13,535
2020-10-14,537
2020-10-15,541
2020-10-17,543
2020-10-18,545
2020-10-19,548
2020-10-20,549
2020-10-21,551
2020-10-22,556
2020-10-23,560
2020-10-24,561
2020-10-25,562
2020-10-26,563
2020-10-27,564
2020-10-29,565
2020-10-30,566
2020-11-03,567
2020-11-09,569
2020-11-10,570
2020-11-12,573
2020-11-14,575
2020-11-16,578
2020-11-17,579
2020-11-18,580
2020-11-20,581
2020-11-21,584
2020-11-23,585
2020-11-24,588
2020-11-25,589
2020-11-28,591
2020-12-01,592
