,date,deaths
0,3/22/20,2
1,3/23/20,3
2,3/24/20,3
3,3/25/20,4
4,3/26/20,6
5,3/27/20,6
6,3/28/20,6
7,3/29/20,10
8,3/30/20,12
9,3/31/20,16
10,4/1/20,17
11,4/2/20,19
12,4/3/20,25
13,4/4/20,32
14,4/5/20,35
15,4/6/20,46
16,4/7/20,50
17,4/8/20,54
18,4/9/20,69
19,4/10/20,80
20,4/11/20,100
21,4/12/20,109
22,4/13/20,112
23,4/14/20,127
24,4/15/20,131
25,4/16/20,144
26,4/17/20,153
27,4/18/20,166
28,4/19/20,179
29,4/20/20,189
30,4/21/20,196
31,4/22/20,206
32,4/23/20,215
33,4/24/20,225
34,4/25/20,233
35,4/26/20,244
36,4/27/20,253
37,4/28/20,269
38,4/29/20,278
39,4/30/20,293
40,5/1/20,314
41,5/2/20,324
42,5/3/20,340
43,5/4/20,358
44,5/5/20,378
45,5/6/20,397
46,5/7/20,407
47,5/8/20,428
48,5/9/20,445
49,5/10/20,463
50,5/11/20,479
51,5/12/20,493
52,5/13/20,509
53,5/14/20,525
54,5/15/20,546
55,5/16/20,562
56,5/17/20,574
57,5/18/20,592
58,5/19/20,613
59,5/20/20,630
60,5/21/20,652
61,5/22/20,682
62,5/23/20,705
63,5/24/20,727
64,5/25/20,750
65,5/26/20,776
66,5/27/20,803
67,5/28/20,822
68,5/29/20,853
69,5/30/20,890
70,5/31/20,939
71,6/1/20,969
72,6/2/20,1009
73,6/3/20,1045
74,6/4/20,1087
75,6/5/20,1145
76,6/6/20,1205
77,6/7/20,1259
78,6/8/20,1308
79,6/9/20,1372
80,6/10/20,1433
81,6/11/20,1488
82,6/12/20,1545
83,6/13/20,1592
84,6/14/20,1667
85,6/15/20,1726
86,6/16/20,1801
87,6/17/20,1864
88,6/18/20,1950
89,6/19/20,2045
90,6/20/20,2126
91,6/21/20,2237
92,6/22/20,2310
93,6/23/20,2404
94,6/24/20,2491
95,6/25/20,2654
96,6/26/20,2811
97,6/27/20,2939
98,6/28/20,3178
99,6/29/20,3274
100,6/30/20,3334
101,7/1/20,3470
102,7/2/20,3641
103,7/3/20,3777
104,7/4/20,3942
105,7/5/20,4064
106,7/6/20,4210
107,7/7/20,4359
108,7/8/20,4527
109,7/9/20,4714
110,7/10/20,4925
111,7/11/20,5119
112,7/12/20,5307
113,7/13/20,5455
114,7/14/20,5625
115,7/15/20,5814
116,7/16/20,6029
117,7/17/20,6288
118,7/18/20,6516
119,7/19/20,6736
120,7/20/20,6929
121,7/21/20,7166
122,7/22/20,7373
123,7/23/20,7688
124,7/24/20,7975
125,7/25/20,8269
126,7/26/20,8525
127,7/27/20,8777
128,7/28/20,9074
129,7/29/20,9454
130,7/30/20,9810
131,7/31/20,10105
132,8/1/20,10330
133,8/2/20,10650
134,8/3/20,11017
135,8/4/20,11315
136,8/5/20,11624
137,8/6/20,11939
138,8/7/20,12250
139,8/8/20,12540
140,8/9/20,12842
141,8/10/20,13154
142,8/11/20,13475
143,8/12/20,13837
144,8/13/20,14145
145,8/14/20,14492
146,8/15/20,14810
147,8/16/20,15097
148,8/17/20,15372
149,8/18/20,15619
150,8/19/20,15979
151,8/20/20,16183
152,8/21/20,16568
153,8/22/20,16968
154,8/23/20,17316
155,8/24/20,17612
156,8/25/20,17889
157,8/26/20,18184
158,8/27/20,18467
159,8/28/20,18766
160,8/29/20,19063
161,8/30/20,19363
162,8/31/20,19662
163,9/1/20,20050
164,9/2/20,20345
165,9/3/20,20618
166,9/4/20,20888
167,9/5/20,21156
168,9/6/20,21412
169,9/7/20,21615
170,9/8/20,21817
171,9/9/20,22053
172,9/10/20,22275
173,9/11/20,22518
174,9/12/20,22734
175,9/13/20,22924
176,9/14/20,23123
177,9/15/20,23288
178,9/16/20,23478
179,9/17/20,23665
180,9/18/20,23665
181,9/19/20,24039
182,9/20/20,24208
183,9/21/20,24397
184,9/22/20,24397
185,9/23/20,24746
186,9/24/20,24746
187,9/25/20,25103
188,9/26/20,25296
189,9/27/20,25488
190,9/28/20,25641
191,9/29/20,25828
192,9/30/20,25998
193,10/1/20,26196
194,10/2/20,26397
195,10/3/20,26556
196,10/4/20,26712
197,10/5/20,26844
198,10/6/20,27017
199,10/7/20,27180
200,10/8/20,27180
201,10/9/20,27495
202,10/10/20,27660
203,10/11/20,27834
204,10/12/20,27985
205,10/13/20,28141
206,10/14/20,28306
207,10/15/20,28457
208,10/16/20,28616
209,10/17/20,28803
210,10/18/20,28970
211,10/19/20,29102
212,10/20/20,29272
213,10/21/20,29464
214,10/22/20,29637
215,10/23/20,29802
216,10/24/20,30000
217,10/25/20,30154
218,10/26/20,30348
219,10/27/20,30565
220,10/28/20,30753
221,10/29/20,30926
222,10/30/20,31135
223,10/31/20,31314
224,11/1/20,31515
225,11/2/20,31653
226,11/3/20,31847
227,11/4/20,32013
228,11/5/20,32209
